epoch,eval_loss,eval_accuracy,layer,prompt
1.0,0.21221640706062317,0.9155,-2,subj_3
1.0,0.18717412650585175,0.937,-1,subj_3
1.0,0.17502285540103912,0.9385,0,subj_3
1.0,0.1826581060886383,0.934,1,subj_3
1.0,0.18239128589630127,0.934,2,subj_3
1.0,0.18380901217460632,0.9335,3,subj_3
1.0,0.1889900416135788,0.9295,4,subj_3
1.0,0.18368634581565857,0.934,5,subj_3
1.0,0.18351589143276215,0.934,6,subj_3
1.0,0.1836278736591339,0.934,7,subj_3
1.0,0.17979666590690613,0.9355,8,subj_3
1.0,0.1827583909034729,0.9345,9,subj_3
1.0,0.1824774295091629,0.934,10,subj_3
1.0,0.18288198113441467,0.934,11,subj_3
