epoch,eval_loss,eval_accuracy,layer,prompt
1.0,1.6124892234802246,0.358,-2,trec_3
1.0,1.587741494178772,0.356,-1,trec_3
1.0,1.59454345703125,0.356,0,trec_3
1.0,1.594539761543274,0.356,1,trec_3
1.0,1.594538927078247,0.356,2,trec_3
1.0,1.594545602798462,0.356,3,trec_3
1.0,1.594545841217041,0.356,4,trec_3
1.0,1.5945496559143066,0.356,5,trec_3
1.0,1.5945473909378052,0.356,6,trec_3
1.0,1.5945475101470947,0.356,7,trec_3
1.0,1.5945463180541992,0.356,8,trec_3
1.0,1.5945454835891724,0.356,9,trec_3
1.0,1.5945472717285156,0.356,10,trec_3
1.0,1.594545841217041,0.356,11,trec_3
