epoch,eval_loss,eval_accuracy,layer,prompt
1.0,1.2683993577957153,0.4323342415985468,-2,sst-5_1
1.0,1.245208501815796,0.4359673024523161,-1,sst-5_1
1.0,1.2505780458450317,0.4287011807447775,0,sst-5_1
1.0,1.2582672834396362,0.42415985467756584,1,sst-5_1
1.0,1.2544705867767334,0.4187102633969119,2,sst-5_1
1.0,1.2521648406982422,0.4223433242506812,3,sst-5_1
1.0,1.254690170288086,0.41689373297002724,4,sst-5_1
1.0,1.2776964902877808,0.410535876475931,5,sst-5_1
1.0,1.2839066982269287,0.4187102633969119,6,sst-5_1
1.0,1.2531665563583374,0.4296094459582198,7,sst-5_1
1.0,1.2565959692001343,0.4178019981834696,8,sst-5_1
1.0,1.2559369802474976,0.4223433242506812,9,sst-5_1
1.0,1.2640477418899536,0.405086285195277,10,sst-5_1
1.0,1.2515718936920166,0.4232515894641235,11,sst-5_1
