epoch,eval_loss,eval_accuracy,layer,prompt
1.0,0.295553982257843,0.8715596330275229,-2,SST-2_2
1.0,0.29856565594673157,0.8692660550458715,-1,SST-2_2
1.0,0.30058369040489197,0.8727064220183486,0,SST-2_2
1.0,0.3109963834285736,0.8715596330275229,1,SST-2_2
1.0,0.30621400475502014,0.8761467889908257,2,SST-2_2
1.0,0.2952876091003418,0.8704128440366973,3,SST-2_2
1.0,0.31335029006004333,0.8669724770642202,4,SST-2_2
1.0,0.30089884996414185,0.8681192660550459,5,SST-2_2
1.0,0.29447728395462036,0.8738532110091743,6,SST-2_2
1.0,0.30970531702041626,0.8772935779816514,7,SST-2_2
1.0,0.30207234621047974,0.8669724770642202,8,SST-2_2
1.0,0.29991820454597473,0.8715596330275229,9,SST-2_2
1.0,0.3105344772338867,0.8669724770642202,10,SST-2_2
1.0,0.30780085921287537,0.8669724770642202,11,SST-2_2
