epoch,eval_loss,eval_accuracy,layer,prompt
1.0,0.0,0.33,-2,trec_1
2.0,0.0,0.374,-2,trec_1
3.0,0.0,0.462,-2,trec_1
4.0,0.0,0.498,-2,trec_1
5.0,0.0,0.478,-2,trec_1
1.0,0.0,0.33,-1,trec_1
2.0,0.0,0.412,-1,trec_1
3.0,0.0,0.452,-1,trec_1
4.0,0.0,0.494,-1,trec_1
5.0,0.0,0.472,-1,trec_1
1.0,0.0,0.386,0,trec_1
2.0,0.0,0.434,0,trec_1
3.0,0.0,0.536,0,trec_1
4.0,0.0,0.542,0,trec_1
5.0,0.0,0.58,0,trec_1
1.0,0.0,0.392,1,trec_1
2.0,0.0,0.45,1,trec_1
3.0,0.0,0.542,1,trec_1
4.0,0.0,0.57,1,trec_1
5.0,0.0,0.598,1,trec_1
1.0,0.0,0.406,2,trec_1
2.0,0.0,0.456,2,trec_1
3.0,0.0,0.534,2,trec_1
4.0,0.0,0.554,2,trec_1
5.0,0.0,0.598,2,trec_1
1.0,0.0,0.452,3,trec_1
2.0,0.0,0.488,3,trec_1
3.0,0.0,0.52,3,trec_1
4.0,0.0,0.566,3,trec_1
5.0,0.0,0.594,3,trec_1
1.0,0.0,0.434,4,trec_1
2.0,0.0,0.468,4,trec_1
3.0,0.0,0.49,4,trec_1
4.0,0.0,0.544,4,trec_1
5.0,0.0,0.576,4,trec_1
1.0,0.0,0.436,5,trec_1
2.0,0.0,0.456,5,trec_1
3.0,0.0,0.516,5,trec_1
4.0,0.0,0.54,5,trec_1
5.0,0.0,0.582,5,trec_1
1.0,0.0,0.454,6,trec_1
2.0,0.0,0.488,6,trec_1
3.0,0.0,0.496,6,trec_1
4.0,0.0,0.57,6,trec_1
5.0,0.0,0.584,6,trec_1
1.0,0.0,0.468,7,trec_1
2.0,0.0,0.492,7,trec_1
3.0,0.0,0.498,7,trec_1
4.0,0.0,0.574,7,trec_1
5.0,0.0,0.546,7,trec_1
1.0,0.0,0.452,8,trec_1
2.0,0.0,0.484,8,trec_1
3.0,0.0,0.506,8,trec_1
4.0,0.0,0.546,8,trec_1
5.0,0.0,0.526,8,trec_1
1.0,0.0,0.414,9,trec_1
2.0,0.0,0.452,9,trec_1
3.0,0.0,0.488,9,trec_1
4.0,0.0,0.51,9,trec_1
5.0,0.0,0.494,9,trec_1
1.0,0.0,0.368,10,trec_1
2.0,0.0,0.416,10,trec_1
3.0,0.0,0.428,10,trec_1
4.0,0.0,0.454,10,trec_1
5.0,0.0,0.46,10,trec_1
1.0,0.0,0.332,11,trec_1
2.0,0.0,0.438,11,trec_1
3.0,0.0,0.41,11,trec_1
4.0,0.0,0.422,11,trec_1
5.0,0.0,0.398,11,trec_1
