epoch,eval_loss,eval_accuracy,layer,prompt
1.0,1.5498219728469849,0.42,-2,trec_2
1.0,1.57222318649292,0.332,-1,trec_2
1.0,1.561601161956787,0.532,0,trec_2
1.0,1.6019703149795532,0.486,1,trec_2
1.0,1.6015642881393433,0.472,2,trec_2
1.0,1.559541940689087,0.536,3,trec_2
1.0,1.5772294998168945,0.51,4,trec_2
1.0,1.5806649923324585,0.496,5,trec_2
1.0,1.5904074907302856,0.498,6,trec_2
1.0,1.6188186407089233,0.274,7,trec_2
1.0,1.543931007385254,0.57,8,trec_2
1.0,1.5807759761810303,0.482,9,trec_2
1.0,1.583321213722229,0.494,10,trec_2
1.0,1.576409935951233,0.496,11,trec_2
