epoch,eval_loss,eval_accuracy,layer,prompt
1.0,0.21958383917808533,0.917,-2,subj_0
1.0,0.20425766706466675,0.923,-1,subj_0
1.0,0.21574249863624573,0.9155,0,subj_0
1.0,0.21474267542362213,0.916,1,subj_0
1.0,0.2151508331298828,0.917,2,subj_0
1.0,0.21634265780448914,0.9155,3,subj_0
1.0,0.21463556587696075,0.915,4,subj_0
1.0,0.2154909074306488,0.916,5,subj_0
1.0,0.2157924771308899,0.9155,6,subj_0
1.0,0.21504563093185425,0.9155,7,subj_0
1.0,0.20716796815395355,0.9185,8,subj_0
1.0,0.2169305682182312,0.914,9,subj_0
1.0,0.21525916457176208,0.9155,10,subj_0
1.0,0.21675021946430206,0.9155,11,subj_0
