epoch,eval_loss,eval_accuracy,layer,prompt
1.0,0.18752874433994293,0.923,-2,subj_2
1.0,0.17084237933158875,0.933,-1,subj_2
1.0,0.18993023037910461,0.9285,0,subj_2
1.0,0.19099123775959015,0.927,1,subj_2
1.0,0.1889892816543579,0.9265,2,subj_2
1.0,0.19071431457996368,0.9275,3,subj_2
1.0,0.19101063907146454,0.927,4,subj_2
1.0,0.19168756902217865,0.9265,5,subj_2
1.0,0.19058673083782196,0.9265,6,subj_2
1.0,0.190224289894104,0.928,7,subj_2
1.0,0.19178487360477448,0.927,8,subj_2
1.0,0.1940244734287262,0.924,9,subj_2
1.0,0.18839170038700104,0.927,10,subj_2
1.0,0.19321389496326447,0.9225,11,subj_2
