epoch,eval_loss,eval_accuracy,layer,prompt
1.0,0.2701075077056885,0.8922018348623854,-2,SST-2_0
1.0,0.26465311646461487,0.8944954128440367,-1,SST-2_0
1.0,0.26301899552345276,0.9025229357798165,0,SST-2_0
1.0,0.2695642411708832,0.8990825688073395,1,SST-2_0
1.0,0.25189486145973206,0.9071100917431193,2,SST-2_0
1.0,0.26525425910949707,0.8990825688073395,3,SST-2_0
1.0,0.265918105840683,0.9013761467889908,4,SST-2_0
1.0,0.2703729569911957,0.8979357798165137,5,SST-2_0
1.0,0.26023387908935547,0.9025229357798165,6,SST-2_0
1.0,0.24994638562202454,0.9048165137614679,7,SST-2_0
1.0,0.2551424503326416,0.9013761467889908,8,SST-2_0
1.0,0.2536830008029938,0.9094036697247706,9,SST-2_0
1.0,0.26088106632232666,0.9002293577981652,10,SST-2_0
1.0,0.2563460171222687,0.8990825688073395,11,SST-2_0
