epoch,eval_loss,eval_accuracy,layer,prompt
1.0,1.556665062904358,0.536,-2,trec_3
1.0,1.5362401008605957,0.562,-1,trec_3
1.0,1.4919289350509644,0.53,0,trec_3
1.0,1.4981549978256226,0.528,1,trec_3
1.0,1.4967000484466553,0.522,2,trec_3
1.0,1.50923752784729,0.504,3,trec_3
1.0,1.493558645248413,0.526,4,trec_3
1.0,1.494695782661438,0.524,5,trec_3
1.0,1.4947787523269653,0.526,6,trec_3
1.0,1.4948996305465698,0.518,7,trec_3
1.0,1.4947060346603394,0.516,8,trec_3
1.0,1.4939604997634888,0.526,9,trec_3
1.0,1.4950127601623535,0.53,10,trec_3
1.0,1.5440380573272705,0.422,11,trec_3
