epoch,eval_loss,eval_accuracy,layer,prompt
1.0,1.5164285898208618,0.3178928247048138,-2,sst-5_0
1.0,1.5110117197036743,0.329700272479564,-1,sst-5_0
1.0,1.5104624032974243,0.3542234332425068,0,sst-5_0
1.0,1.511652946472168,0.37783832879200724,1,sst-5_0
1.0,1.5124168395996094,0.35149863760217986,2,sst-5_0
1.0,1.5138874053955078,0.36693914623069934,3,sst-5_0
1.0,1.5218820571899414,0.3424159854677566,4,sst-5_0
1.0,1.5006436109542847,0.3496821071752952,5,sst-5_0
1.0,1.5101006031036377,0.36603088101725706,6,sst-5_0
1.0,1.50803804397583,0.3533151680290645,7,sst-5_0
1.0,1.5072901248931885,0.34332425068119893,8,sst-5_0
1.0,1.5003114938735962,0.37420526793823794,9,sst-5_0
1.0,1.5069143772125244,0.3478655767484105,10,sst-5_0
1.0,1.5113435983657837,0.36330608537693004,11,sst-5_0
