epoch,eval_loss,eval_accuracy,layer,prompt
1.0,1.617017388343811,0.286,-2,trec_1
1.0,1.6260223388671875,0.278,-1,trec_1
1.0,1.613374948501587,0.274,0,trec_1
1.0,1.5547617673873901,0.314,1,trec_1
1.0,1.5747853517532349,0.268,2,trec_1
1.0,1.5983295440673828,0.26,3,trec_1
1.0,1.567491888999939,0.274,4,trec_1
1.0,1.5418494939804077,0.35,5,trec_1
1.0,1.5650336742401123,0.272,6,trec_1
1.0,1.5474778413772583,0.368,7,trec_1
1.0,1.54046630859375,0.356,8,trec_1
1.0,1.5861985683441162,0.262,9,trec_1
1.0,1.6143505573272705,0.278,10,trec_1
1.0,1.5825214385986328,0.27,11,trec_1
