epoch,eval_loss,eval_accuracy,layer,prompt
1.0,1.5990819931030273,0.416,-2,trec_4
1.0,1.620903730392456,0.272,-1,trec_4
1.0,1.571049690246582,0.44,0,trec_4
1.0,1.560764193534851,0.48,1,trec_4
1.0,1.5783764123916626,0.39,2,trec_4
1.0,1.5643935203552246,0.476,3,trec_4
1.0,1.5704131126403809,0.46,4,trec_4
1.0,1.5605981349945068,0.488,5,trec_4
1.0,1.6119502782821655,0.326,6,trec_4
1.0,1.6100422143936157,0.338,7,trec_4
1.0,1.5704526901245117,0.442,8,trec_4
1.0,1.5571744441986084,0.496,9,trec_4
1.0,1.5690388679504395,0.432,10,trec_4
1.0,1.5699838399887085,0.42,11,trec_4
